feature,coefficient,abs_coefficient,impact
cat__discharge_destination_rehab,0.3573904213445572,0.3573904213445572,Increases Risk
cat__discharge_destination_nursing_home,0.3400644830184248,0.3400644830184248,Increases Risk
num__age,0.336780604847122,0.336780604847122,Increases Risk
num__comorbidity_index,0.3076339445898018,0.3076339445898018,Increases Risk
num__previous_admissions_12m,0.2934375298797349,0.2934375298797349,Increases Risk
num__follow_up_within_7_days_flag,-0.19935637916333912,0.19935637916333912,Decreases Risk
num__heart_failure_flag,0.1945938998032608,0.1945938998032608,Increases Risk
num__ckd_flag,0.1782043617352717,0.1782043617352717,Increases Risk
num__previous_er_visits_12m,0.16899660035324374,0.16899660035324374,Increases Risk
cat__insurance_type_Private,-0.1289038497746414,0.1289038497746414,Decreases Risk
num__diabetes_flag,0.12067519469862902,0.12067519469862902,Increases Risk
num__prior_30_day_readmission_flag,0.114042955644442,0.114042955644442,Increases Risk
num__copd_flag,0.10904710042341263,0.10904710042341263,Increases Risk
num__dementia_flag,0.07923330001190976,0.07923330001190976,Increases Risk
num__length_of_stay_days,0.07866626143115499,0.07866626143115499,Increases Risk
num__creatinine,0.0667787514347196,0.0667787514347196,Increases Risk
num__high_risk_medication_flag,0.06467516947320424,0.06467516947320424,Increases Risk
num__icu_stay_flag,0.06439243674013749,0.06439243674013749,Increases Risk
cat__admission_type_emergency,0.05654417168789787,0.05654417168789787,Increases Risk
cat__insurance_type_Medicare,0.04004234054707023,0.04004234054707023,Increases Risk
num__polypharmacy_flag,0.03279033993556523,0.03279033993556523,Increases Risk
num__total_charges_index_stay,0.01742473787814197,0.01742473787814197,Increases Risk
num__hemoglobin,-0.016720848704401093,0.016720848704401093,Decreases Risk
num__medication_count_at_discharge,0.002641451436293557,0.002641451436293557,Increases Risk
num__glucose,-0.0007788027722054082,0.0007788027722054082,Decreases Risk
